cpa,prob_f0,prob_f1,prob_f2,prob_f3,prob_f4
0,NA,NA,NA,NA,NA
0.1,NA,NA,NA,NA,NA
0.2,NA,NA,NA,NA,NA
0.3,NA,NA,NA,NA,NA
0.4,NA,NA,NA,NA,NA
0.5,NA,NA,NA,NA,NA
0.6,NA,NA,NA,NA,NA
0.7,NA,NA,NA,NA,NA
0.8,NA,NA,NA,NA,NA
0.9,1,0,0,0,0
1,1,0,0,0,0
1.1,1,0,0,0,0
1.2,1,0,0,0,0
1.3,1,0,0,0,0
1.4,1,0,0,0,0
1.5,0.9615384615384616,0.038461538461538464,0,0,0
1.6,0.9736842105263158,0.02631578947368421,0,0,0
1.7,1,0,0,0,0
1.8,0.9914529914529915,0,0,0,0.008547008547008548
1.9,0.993103448275862,0.006896551724137931,0,0,0
2,0.9950980392156863,0,0,0,0.004901960784313725
2.1,0.9872611464968153,0.012738853503184714,0,0,0
2.2,0.9925187032418953,0.007481296758104738,0,0,0
2.3,0.975103734439834,0.024896265560165973,0,0,0
2.4,0.9699367088607594,0.030063291139240507,0,0,0
2.5,0.9624664879356568,0.03753351206434316,0,0,0
2.6,0.9547079856972587,0.04529201430274136,0,0,0
2.7,0.9561487130600572,0.0438512869399428,0,0,0
2.8,0.934018851756641,0.06598114824335904,0,0,0
2.9,0.9432878679109835,0.05599425699928212,7.178750897343862e-4,0,0
3,0.9195710455764075,0.08042895442359249,0,0,0
3.1,0.9002574002574003,0.09845559845559845,6.435006435006435e-4,0,6.435006435006435e-4
3.2,0.8889496717724289,0.11105032822757112,0,0,0
3.3,0.8572825024437928,0.14222873900293256,4.887585532746823e-4,0,0
3.4,0.8472348141432456,0.14959202175883954,0.0022665457842248413,0,9.066183136899365e-4
3.5,0.8332635106828655,0.16464180980310011,0.0020946795140343527,0,0
3.6,0.8118426178418388,0.18465134398130112,0.003506038176860148,0,0
3.7,0.8004314994606256,0.19453434016540813,0.004674577490111471,0,3.595828838547285e-4
3.8,0.7774348422496571,0.21604938271604937,0.006515775034293553,0,0
3.9,0.751937984496124,0.23896191439164138,0.00910010111223458,0,0
4,0.7363107984092995,0.2520648516365861,0.011624349954114408,0,0
4.1,0.7139849624060151,0.2673684210526316,0.01744360902255639,0,0.0012030075187969924
